Id. Sessao;Id. Usuario;Data Login;Data Logout
1;1;2024-09-29 21:44:42.199998;2024-09-29 21:45:10.921583
2;3;2024-09-29 22:16:32.899237;2024-09-29 22:16:52.346845
3;1;2024-09-30 09:31:55.826270;2024-09-30 09:32:35.641304
4;4;2024-09-30 09:55:20.493184;2024-09-30 09:55:29.338975
5;1;2024-09-30 20:16:04.370937;2024-09-30 20:17:29.493429
5;5;2024-09-30 20:17:16.381022;2024-09-30 20:17:29.493429
